,y
0,no
1,no
3,no
5,no
6,no
7,no
8,no
9,no
10,no
11,no
12,no
13,no
14,no
15,no
16,no
18,no
19,no
20,no
21,no
23,no
24,no
25,no
26,no
27,no
28,no
29,no
30,no
31,no
32,no
33,no
34,no
35,no
36,no
37,no
38,no
39,no
40,no
41,no
42,no
43,no
45,no
46,no
47,no
48,no
49,no
50,no
51,no
52,no
53,no
54,no
55,no
56,no
57,no
58,no
59,no
60,no
61,no
62,no
64,no
65,no
66,no
67,no
68,no
69,no
71,no
72,no
73,no
74,no
75,yes
76,no
79,no
80,no
81,no
82,no
83,yes
84,no
85,no
86,no
88,yes
89,no
91,no
92,no
98,no
99,no
100,no
101,no
102,no
103,no
104,no
105,no
109,no
110,no
112,no
113,no
114,no
115,no
117,no
118,no
119,no
120,no
122,no
123,no
124,no
125,no
126,no
130,no
132,no
133,no
135,no
137,no
140,no
141,no
144,no
145,no
146,no
147,no
148,no
149,no
150,no
152,no
153,no
154,no
155,no
157,no
158,no
160,no
161,no
162,no
163,no
164,no
166,no
167,no
168,no
169,no
170,no
171,no
173,no
174,no
177,no
178,no
179,no
182,yes
183,no
184,no
185,no
186,no
188,no
189,no
190,no
191,no
192,no
193,no
195,no
196,no
197,no
199,no
200,no
202,no
203,no
204,no
206,no
207,no
208,no
209,no
213,no
216,no
217,no
219,no
220,no
221,no
223,no
224,no
225,no
226,no
227,no
229,no
231,no
232,no
233,no
235,no
236,no
238,no
239,no
241,no
242,no
243,no
244,no
245,no
248,no
250,no
251,no
252,no
253,no
254,no
255,no
256,no
257,no
258,no
259,no
260,no
261,no
262,no
263,no
264,no
265,no
266,no
267,no
268,no
270,no
272,no
273,no
274,no
275,no
276,no
280,no
281,no
282,no
283,no
284,no
287,no
291,no
293,no
294,no
295,no
296,no
297,no
300,no
302,no
303,no
304,no
306,no
307,no
308,no
309,no
310,no
312,no
313,no
314,no
315,no
316,no
317,no
320,no
321,no
322,no
323,no
325,no
326,no
327,no
329,no
331,no
332,no
333,no
334,no
336,no
337,no
338,no
340,no
341,no
342,no
343,no
345,no
346,no
347,no
348,no
349,no
350,no
351,no
352,no
353,no
355,no
357,no
358,no
359,no
360,no
361,no
362,no
363,no
364,no
365,no
366,no
367,no
368,no
369,no
370,no
371,no
372,no
373,no
374,no
376,no
377,no
378,no
379,no
380,no
381,no
382,no
383,no
384,no
385,no
388,yes
389,yes
390,no
391,no
393,no
395,no
396,no
397,no
398,no
399,no
400,no
401,no
402,no
403,no
404,no
405,no
406,no
408,no
410,no
411,no
413,no
414,no
415,no
417,no
418,no
419,no
420,no
421,no
422,no
423,no
425,no
426,no
428,no
429,no
430,no
431,no
432,no
433,no
434,no
436,no
437,no
439,no
441,no
442,no
443,no
444,no
445,no
446,yes
447,no
449,no
450,no
452,no
453,no
454,no
455,no
456,no
457,no
458,no
459,no
460,no
461,no
462,no
463,no
464,no
465,no
466,no
467,no
468,no
469,yes
470,no
471,no
472,no
473,no
475,no
476,no
479,no
480,no
481,no
482,no
483,no
484,no
485,no
486,no
488,no
489,no
490,no
491,no
495,no
496,no
497,no
498,no
499,no
500,no
501,no
502,no
503,no
505,no
507,no
508,no
510,no
511,no
512,no
513,no
514,no
516,no
517,no
518,no
519,no
520,no
521,no
522,no
523,no
524,no
525,no
526,no
527,no
530,no
531,no
533,no
534,no
536,no
537,no
538,no
539,no
540,no
541,no
543,no
544,no
545,no
546,no
547,no
548,no
549,no
550,no
551,no
553,no
554,no
555,no
556,yes
557,no
558,no
559,no
560,no
561,no
562,no
563,no
565,no
566,no
567,no
568,no
570,no
571,no
572,no
573,no
574,no
575,no
576,no
577,no
578,no
579,no
580,no
582,no
584,no
585,no
586,no
587,no
588,no
589,no
590,no
591,no
592,no
593,no
595,no
596,no
597,no
598,no
599,no
600,no
601,no
602,no
603,no
605,no
606,no
607,no
608,no
610,no
611,no
615,no
616,no
618,no
620,no
622,no
623,no
624,no
626,no
627,no
630,no
631,no
633,no
636,no
637,no
638,no
639,no
641,no
643,no
644,no
647,no
648,no
650,no
651,no
652,no
653,no
654,no
655,no
657,no
658,no
659,no
660,no
661,no
662,no
663,no
664,no
665,no
666,no
667,no
668,no
669,no
670,no
671,no
672,no
673,no
674,no
675,no
676,no
677,no
678,no
682,no
683,no
684,no
685,no
686,no
687,no
691,no
692,no
693,no
694,no
695,no
696,no
697,no
698,no
700,no
701,no
702,no
703,no
704,no
705,no
706,no
707,no
708,no
709,no
712,no
714,no
716,no
717,no
718,no
719,no
720,no
721,no
722,no
723,no
724,no
725,no
726,no
727,no
728,no
729,no
730,no
732,no
734,no
735,no
736,no
737,no
738,no
739,no
742,no
743,no
744,no
745,no
746,no
747,no
748,no
749,no
752,no
753,no
754,no
755,no
757,no
758,no
760,no
761,no
762,no
763,no
764,no
765,no
766,no
767,no
768,no
769,no
770,no
771,no
772,no
773,no
774,no
775,no
778,no
779,no
780,no
781,no
782,no
784,no
787,no
789,no
791,no
792,no
793,no
794,no
795,no
796,no
797,no
798,no
799,no
800,no
801,no
802,no
803,no
804,no
805,no
806,no
807,no
808,no
810,no
811,no
812,no
814,no
815,no
816,no
817,no
818,no
819,no
820,yes
821,no
822,no
823,no
824,no
825,no
826,no
827,no
828,no
830,no
831,no
833,no
834,no
835,no
836,no
837,no
838,no
840,no
841,no
842,no
843,no
844,no
845,no
846,no
848,no
849,no
850,no
851,no
852,no
853,no
854,no
855,no
856,yes
859,no
860,no
861,no
862,no
863,no
864,no
865,no
866,no
868,no
869,no
870,yes
871,no
872,no
874,no
875,no
876,yes
877,no
878,no
880,no
881,no
882,no
883,no
884,no
885,no
886,no
887,no
888,no
889,no
890,no
891,no
892,no
893,no
894,no
895,no
896,no
897,no
898,no
900,no
902,no
903,no
904,no
905,no
906,no
907,no
908,no
909,no
910,no
911,no
912,no
913,no
914,no
916,no
917,no
918,no
919,no
920,no
921,no
922,no
924,no
926,no
927,no
929,no
930,no
931,no
932,no
933,no
935,no
936,no
937,no
938,no
939,no
940,no
941,no
942,no
944,no
945,no
946,no
947,no
949,no
950,no
951,no
952,no
953,no
954,no
955,no
956,no
957,no
958,no
959,no
960,no
964,no
965,no
966,no
967,no
968,no
969,no
971,no
972,no
973,no
974,no
975,no
976,no
977,no
978,no
980,no
981,no
982,no
983,no
985,no
986,no
987,no
988,no
989,no
990,no
992,no
993,no
994,no
995,no
997,no
998,no
999,no
1000,no
1002,no
1003,no
1004,no
1005,no
1006,no
1007,no
1008,no
1009,no
1010,no
1011,no
1012,no
1013,no
1014,no
1015,no
1016,no
1018,no
1019,no
1021,no
1022,no
1023,no
1024,no
1026,no
1027,no
1032,no
1034,no
1036,no
1037,no
1038,no
1039,no
1040,no
1041,no
1043,no
1045,no
1046,no
1047,no
1049,no
1050,no
1051,no
1052,no
1054,no
1057,no
1058,no
1062,no
1063,no
1064,no
1065,no
1066,no
1067,no
1068,no
1069,no
1070,no
1072,no
1073,no
1074,no
1075,no
1076,no
1077,no
1078,yes
1079,no
1080,no
1081,no
1082,no
1083,no
1084,no
1085,no
1086,no
1088,no
1089,no
1090,no
1092,no
1094,no
1095,no
1096,no
1097,no
1098,no
1099,no
1100,no
1101,no
1102,no
1103,no
1104,no
1106,no
1107,no
1108,no
1109,no
1110,no
1111,no
1112,no
1114,yes
1115,no
1116,no
1117,no
1120,no
1121,no
1122,no
1124,no
1125,no
1127,no
1129,no
1131,no
1133,no
1134,no
1135,no
1136,no
1137,no
1138,no
1139,no
1140,no
1141,no
1142,no
1143,no
1144,no
1145,no
1146,no
1147,no
1148,no
1149,no
1151,no
1152,no
1153,no
1154,no
1156,no
1157,no
1158,no
1159,no
1161,no
1162,no
1163,no
1164,no
1165,no
1166,yes
1167,no
1168,no
1169,no
1171,no
1172,no
1173,no
1174,no
1175,no
1176,no
1178,no
1181,no
1182,no
1183,no
1184,no
1185,no
1187,no
1188,no
1189,yes
1190,no
1191,no
1192,no
1193,no
1194,no
1196,no
1197,no
1198,no
1200,no
1201,no
1202,no
1203,no
1204,no
1206,no
1207,no
1209,no
1210,no
1211,no
1212,no
1214,no
1215,no
1216,no
1217,no
1218,no
1221,no
1223,no
1224,no
1225,no
1226,no
1228,no
1229,no
1230,no
1232,no
1233,yes
1234,no
1235,no
1236,no
1237,no
1239,no
1240,no
1241,no
1242,no
1243,no
1244,no
1245,no
1246,no
1248,no
1249,no
1250,no
1251,no
1252,no
1255,no
1256,yes
1257,no
1258,no
1259,no
1260,no
1261,no
1262,no
1263,no
1264,no
1265,no
1267,no
1268,no
1269,no
1270,no
1271,no
1273,no
1274,no
1275,no
1276,no
